card_id,type,front,back,chain_id,ep,source
H_古2_宋元_01_01,node,[CHAIN_宋元_01] 陈桥兵变：权力交接的和平模式,"960年赵匡胤陈桥兵变黄袍加身，几乎零流血建立宋朝——这是五代以来军阀夺权模式的顶峰

【★★★★考点】",CHAIN_宋元_01,01,宋的困局
H_古2_宋元_01_02,node,[CHAIN_宋元_01] 杯酒释兵权：用经济利益换政治安全,"961年赵匡胤设宴解除石守信等大将兵权，以经济利益换取政治安全的政治艺术

【★★★★★考点】",CHAIN_宋元_01,01,宋的困局
H_古2_宋元_01_03,node,[CHAIN_宋元_01] 更戍法：兵不识将，将不识兵,"将领定期轮换不固定带兵，导致战斗力严重下降——这是矫枉过正式的集权

【★★★★考点】",CHAIN_宋元_01,01,宋的困局
H_古2_宋元_01_04,node,[CHAIN_宋元_01] 枢密院：文人掌军权,"枢密院掌管军政，长官由文官担任，从制度上剥夺了武将的军事决策权

【★★★考点】",CHAIN_宋元_01,01,宋的困局
H_古2_宋元_01_05,node,[CHAIN_宋元_01] 澶渊之盟：用银子买的和平,"1004年澶渊之盟：每年银十万两绢二十万匹换宋辽百年和平——务实还是懦弱？

【★★★★考点】",CHAIN_宋元_01,01,宋的困局
S_古2_宋元_01_01,strategy_cause,"[CHAIN_宋元_01] 重文抑武：宋朝制度设计的逻辑与代价
为什么这件事会发生？",【请补充原因分析】,CHAIN_宋元_01,01,宋的困局
L_古2_宋元_01,chain,【链卡】CHAIN_宋元_01 重文抑武：宋朝制度设计的逻辑与代价,"类型：制度类

关键节点：
• 陈桥兵变：权力交接的和平模式
• 杯酒释兵权：用经济利益换政治安全
• 更戍法：兵不识将，将不识兵
• 枢密院：文人掌军权
• 澶渊之盟：用银子买的和平

",CHAIN_宋元_01,01,宋的困局
H_古2_宋元_02_01,node,[CHAIN_宋元_02] 宋代GDP全球第一的历史事实,"宋代经济总量占全球60%以上，城市化率远超同期欧洲，商品经济高度发达

【★★★考点】",CHAIN_宋元_02,01,宋的困局
H_古2_宋元_02_02,node,[CHAIN_宋元_02] 富而不强的历史悖论,"最富的王朝偏偏军事最弱——富裕没有转化为军事力量，因为制度设计主动压制了军事

【★★★★★考点】",CHAIN_宋元_02,01,宋的困局
H_古2_宋元_02_03,node,[CHAIN_宋元_02] 宋太宗的名言：防武将甚于防外敌,"国家若无外忧，必有内患——这套逻辑导致宁可对外妥协，也要压制武将

【★★★★考点】",CHAIN_宋元_02,01,宋的困局
H_古2_宋元_02_04,node,[CHAIN_宋元_02] 名将狄青的悲剧,"狄青战功赫赫却遭文官猜忌排挤抑郁而终——武将没有安全感的宋代政治生态

【★★★考点】",CHAIN_宋元_02,01,宋的困局
H_古2_宋元_02_05,node,[CHAIN_宋元_02] 积贫积弱的制度根源,"收藩镇之权矫枉过正，从必要手段变成目的本身——这是宋朝军事积弱的制度根源

【★★★★★考点】",CHAIN_宋元_02,01,宋的困局
S_古2_宋元_02_02,strategy_impact,"[CHAIN_宋元_02] 宋代经济辉煌与军事积弱的深层矛盾
产生了什么后果？",【请补充影响分析】,CHAIN_宋元_02,01,宋的困局
L_古2_宋元_02,chain,【链卡】CHAIN_宋元_02 宋代经济辉煌与军事积弱的深层矛盾,"类型：影响类

关键节点：
• 宋代GDP全球第一的历史事实
• 富而不强的历史悖论
• 宋太宗的名言：防武将甚于防外敌
• 名将狄青的悲剧
• 积贫积弱的制度根源

",CHAIN_宋元_02,01,宋的困局
H_古2_宋元_03_01,node,[CHAIN_宋元_03] 变法的历史背景：财政危机,"宋神宗面对三冗问题（冗官/冗兵/冗费）和财政危机，决心变法图强

【★★★考点】",CHAIN_宋元_03,02,王安石变法
H_古2_宋元_03_02,node,[CHAIN_宋元_03] 青苗法：官府贷款打击高利贷,"每年春荒时官府贷款给农民，利率低于高利贷；打击豪强但执行走样成扰民

【★★★★★考点】",CHAIN_宋元_03,02,王安石变法
H_古2_宋元_03_03,node,[CHAIN_宋元_03] 市易法：官府平价抑制商人垄断,"官府参与市场交易平抑物价，打击大商人垄断；但与民争利引发广泛不满

【★★★考点】",CHAIN_宋元_03,02,王安石变法
H_古2_宋元_03_04,node,[CHAIN_宋元_03] 募役法：以雇役取代差役,"农民不再服劳役而改缴免役钱，官府用钱雇人服役；解放劳动力但增加农民负担

【★★★★考点】",CHAIN_宋元_03,02,王安石变法
H_古2_宋元_03_05,node,[CHAIN_宋元_03] 变法失败的根本原因,"执行走样＋触动既得利益集团＋神宗动摇＋哲宗后新旧党争政治斗争——变法最终失败

【★★★★★考点】",CHAIN_宋元_03,02,王安石变法
S_古2_宋元_03_01,strategy_cause,"[CHAIN_宋元_03] 王安石变法：理想与现实的碰撞
为什么这件事会发生？",【请补充原因分析】,CHAIN_宋元_03,02,王安石变法
S_古2_宋元_03_02,strategy_impact,"[CHAIN_宋元_03] 王安石变法：理想与现实的碰撞
产生了什么后果？",【请补充影响分析】,CHAIN_宋元_03,02,王安石变法
