front,back,tags,card_type,card_id,chain_id
英国工业革命完成时间？,"18世纪60年代—19世纪40年代；蒸汽机广泛应用

【所属链】：鸦片战争链（CHAIN_近代危机_01）
【记忆定位】：英国工业革命完成时间 → 18世纪60年代—19世纪40年代

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#鸦片战争 #时序卡,node,H_近代_01_001,CHAIN_近代危机_01
鸦片战争爆发的根本原因？,"英国工业革命后需要海外市场；中英贸易失衡

【所属链】：鸦片战争链（CHAIN_近代危机_01）
【记忆定位】：鸦片战争爆发的根本原因 → 英国工业革命后需要海外市场

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#鸦片战争 #原因卡,node,H_近代_01_002,CHAIN_近代危机_01
鸦片战争的直接原因？,"林则徐虎门销烟

【所属链】：鸦片战争链（CHAIN_近代危机_01）
【记忆定位】：鸦片战争的直接原因 → 林则徐虎门销烟

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#鸦片战争 #原因卡,node,H_近代_01_003,CHAIN_近代危机_01
《南京条约》核心内容？,"割让香港岛、赔款2100万银元、五口通商、协定关税

【所属链】：鸦片战争链（CHAIN_近代危机_01）
【记忆定位】：《南京条约》核心内容 → 割让香港岛、赔款2100万银元、五口通商、协定关税

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#鸦片战争 #条约/制度卡,node,H_近代_01_004,CHAIN_近代危机_01
中国开始沦为半殖民地半封建社会的标志？,"鸦片战争（1840年）

【所属链】：鸦片战争链（CHAIN_近代危机_01）
【记忆定位】：中国开始沦为半殖民地半封建社会的标志 → 鸦片战争（1840年）

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#鸦片战争 #概念卡,node,H_近代_01_005,CHAIN_近代危机_01
太平天国爆发时间？,"1851年，金田起义

【所属链】：太平天国链（CHAIN_近代危机_02）
【记忆定位】：太平天国爆发时间 → 1851年，金田起义

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#太平天国 #时序卡,node,H_近代_01_001,CHAIN_近代危机_02
太平天国定都？,"1853年，攻占南京，改名天京

【所属链】：太平天国链（CHAIN_近代危机_02）
【记忆定位】：太平天国定都 → 1853年，攻占南京，改名天京

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#太平天国 #概念卡,node,H_近代_01_002,CHAIN_近代危机_02
《天朝田亩制度》核心内容？,"土地平均分配，「无处不均匀，无人不饱暖」

【所属链】：太平天国链（CHAIN_近代危机_02）
【记忆定位】：《天朝田亩制度》核心内容 → 土地平均分配，「无处不均匀，无人不饱暖」

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#太平天国 #条约/制度卡,node,H_近代_01_003,CHAIN_近代危机_02
太平天国失败标志？,"1864年，天京陷落

【所属链】：太平天国链（CHAIN_近代危机_02）
【记忆定位】：太平天国失败标志 → 1864年，天京陷落

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#太平天国 #概念卡,node,H_近代_01_004,CHAIN_近代危机_02
太平天国失败的根本原因？,"农民阶级的局限性（平均主义空想、内部争权腐化）；中外反动势力联合镇压

【所属链】：太平天国链（CHAIN_近代危机_02）
【记忆定位】：太平天国失败的根本原因 → 农民阶级的局限性（平均主义空想、内部争权腐化）

【记忆技巧】：
- 联想该节点在链中的位置（前因→后果）
- 回忆与该节点直接相邻的两个事件
- 试着用一句话概括这段内容，向自己复述",#太平天国 #原因卡,node,H_近代_01_105,CHAIN_近代危机_02
